Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
28,Tyler Eifert (FA),36,60,349,9.7,28,1,2,0,0,0,0,15,64.9,4.3,0.0%,2020
29,Mo Alie-Cox (IND),31,39,394,12.7,45,9,2,0,0,0,1,15,64.9,4.3,2.0%,2020
30,Anthony Firkser (ATL),39,53,387,9.9,45,6,1,0,0,0,0,16,64.2,4,0.0%,2020
31,Jordan Reed (FA),26,46,231,8.9,26,1,4,0,0,0,0,10,60.1,6,19.0%,2020
32,Zach Ertz (ARI),36,72,335,9.3,42,7,1,0,0,0,0,11,59.5,5.4,30.9%,2020
33,Drew Sample (CIN),40,53,349,8.7,23,1,1,0,0,0,1,16,58.9,3.7,0.0%,2020
34,Richard Rodgers (LAC),24,31,345,14.4,33,7,2,0,0,0,0,14,58.5,4.2,0.0%,2020
35,Chris Herndon IV (FA),31,46,287,9.3,26,3,3,0,0,0,2,16,58.2,3.6,0.0%,2020
36,Dawson Knox (BUF),24,44,288,12,36,4,3,0,0,0,2,12,54.8,4.6,79.9%,2020
37,Cameron Brate (TB),28,34,282,10.1,25,2,2,0,0,0,0,16,54.2,3.4,1.5%,2020
