Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
20,Stephen Hauschka (FA),22,28,78.6,54,0,3,8,7,4,25,26,16,106,6.6,0.0%,2018
44,Stephen Hauschka (FA),0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2020
45,Taylor Russolino (FA),0,1,0,0,0,0,0,0,0,1,3,1,1,1,0.0%,2020
37,Tristan Vizcaino (FA),6,7,85.7,46,0,3,2,1,0,10,15,6,29,4.8,0.0%,2021
40,Tristan Vizcaino (FA),3,3,100,47,0,0,2,1,0,2,2,1,12,12,0.0%,2020
35,Ty Long (FA),7,9,77.8,51,0,0,2,4,1,9,9,16,36,2.3,0.7%,2019
60,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.7%,2021
83,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,16,-2.8,-0.2,0.7%,2020
3,Tyler Bass (BUF),28,34,82.4,58,1,9,6,8,4,57,59,16,157,9.8,83.0%,2020
11,Tyler Bass (BUF),28,32,87.5,57,0,15,7,4,2,51,51,17,143,8.4,83.0%,2021
2,Wil Lutz (NO),32,36,88.9,58,1,9,6,13,3,48,49,16,163,10.2,4.0%,2019
4,Wil Lutz (NO),28,30,93.3,54,1,5,9,11,2,52,53,16,151,9.4,4.0%,2018
12,Wil Lutz (NO),23,28,82.1,53,0,5,10,7,1,57,58,16,135,8.4,4.0%,2020
2,Younghoe Koo (ATL),37,39,94.9,54,0,10,11,8,8,33,36,15,168,11.2,42.3%,2020
18,Younghoe Koo (ATL),27,29,93.1,54,0,8,9,6,4,30,30,17,125,7.4,42.3%,2021
26,Younghoe Koo (ATL),23,26,88.5,50,0,6,9,7,1,15,16,8,93,11.6,42.3%,2019
5,Zane Gonzalez (CAR),31,35,88.6,54,0,12,12,5,2,34,35,16,136,8.5,0.5%,2019
27,Zane Gonzalez (CAR),16,22,72.7,56,0,4,2,8,2,38,39,12,98,8.2,0.5%,2020
26,Zane Gonzalez (CAR),20,22,90.9,57,0,6,1,10,3,22,23,12,98,8.2,0.5%,2021
33,Zane Gonzalez (CAR),9,14,64.3,55,0,1,4,2,2,8,11,7,41,5.9,0.5%,2018
