Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
74,Adam Humphries (FA),2,3,15,7.5,9,0,0,0,0,0,0,1,3.5,3.5,0.6%,2019,4
99,Adam Humphries (FA),2,2,-1,-0.5,0,0,0,1,1,0,0,1,2,2,0.6%,2019,2
109,Adam Humphries (FA),1,1,5,5,5,0,0,0,0,0,0,1,1.5,1.5,0.6%,2019,1
5,Adam Thielen (MIN),7,8,130,18.6,44,2,2,0,0,0,0,1,32,32,90.9%,2019,5
13,Adam Thielen (MIN),3,5,55,18.3,35,1,1,1,1,1,0,1,20.6,20.6,90.9%,2019,3
13,Adam Thielen (MIN),6,8,57,9.5,20,1,1,1,0,0,0,1,17.7,17.7,90.9%,2019,6
38,Adam Thielen (MIN),3,3,43,14.3,23,1,1,0,0,0,0,1,13.3,13.3,90.9%,2019,1
37,Adam Thielen (MIN),5,8,75,15,30,2,0,0,0,0,0,1,12.5,12.5,90.9%,2019,2
41,Adam Thielen (MIN),1,2,25,25,25,1,1,0,0,0,0,1,9.5,9.5,90.9%,2019,7
59,Adam Thielen (MIN),3,3,27,9,13,0,0,1,3,0,0,1,6,6,90.9%,2019,15
84,Adam Thielen (MIN),2,6,6,3,6,0,0,0,0,0,0,1,2.6,2.6,90.9%,2019,4
111,Adam Thielen (MIN),0,4,0,0,0,0,0,1,2,0,0,1,0.2,0.2,90.9%,2019,16
420,Adam Thielen (MIN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,90.9%,2019,9
17,Albert Wilson (MIA),7,7,79,11.3,35,1,0,1,9,0,0,1,15.8,15.8,1.0%,2019,16
34,Albert Wilson (MIA),5,8,59,11.8,24,1,0,0,0,0,0,1,11.7,11.7,1.0%,2019,17
37,Albert Wilson (MIA),5,5,32,6.4,13,0,0,2,31,0,0,1,11.3,11.3,1.0%,2019,13
43,Albert Wilson (MIA),5,8,59,11.8,21,1,0,0,0,0,0,1,10.9,10.9,1.0%,2019,15
37,Albert Wilson (MIA),6,7,33,5.5,16,0,0,1,4,0,0,1,9.7,9.7,1.0%,2019,12
57,Albert Wilson (MIA),1,2,5,5,5,0,1,0,0,0,0,1,7.5,7.5,1.0%,2019,8
53,Albert Wilson (MIA),5,6,15,3,8,0,0,0,0,0,0,1,6.5,6.5,1.0%,2019,6
60,Albert Wilson (MIA),3,6,26,8.7,13,0,0,0,0,0,0,1,5.6,5.6,1.0%,2019,11
89,Albert Wilson (MIA),2,4,13,6.5,12,0,0,1,1,0,0,1,3.4,3.4,1.0%,2019,1
81,Albert Wilson (MIA),1,2,22,22,22,1,0,0,0,0,0,1,3.2,3.2,1.0%,2019,7
111,Albert Wilson (MIA),1,2,5,5,5,0,0,0,0,0,0,1,1.5,1.5,1.0%,2019,14
92,Albert Wilson (MIA),1,2,3,3,3,0,0,0,0,0,0,1,1.3,1.3,1.0%,2019,9
85,Albert Wilson (MIA),1,3,0,0,0,0,0,0,0,0,0,1,1,1,1.0%,2019,10
6,Alex Erickson (WAS),8,14,137,17.1,48,2,0,2,-2,0,0,1,21.5,21.5,0.0%,2019,7
22,Alex Erickson (WAS),6,7,97,16.2,52,1,0,0,0,0,0,1,15.7,15.7,0.0%,2019,8
40,Alex Erickson (WAS),6,9,55,9.2,19,0,0,0,0,0,0,1,11.5,11.5,0.0%,2019,16
44,Alex Erickson (WAS),5,7,45,9,12,0,0,0,0,0,0,1,10.5,10.5,0.0%,2019,14
31,Alex Erickson (WAS),4,6,47,11.8,21,1,0,1,17,0,0,1,10.4,10.4,0.0%,2019,6
51,Alex Erickson (WAS),2,8,43,21.5,30,1,0,0,0,0,0,1,6.3,6.3,0.0%,2019,12
79,Alex Erickson (WAS),4,4,28,7,13,0,0,0,0,0,1,1,4.8,4.8,0.0%,2019,1
78,Alex Erickson (WAS),2,2,21,10.5,15,0,0,0,0,0,0,1,4.1,4.1,0.0%,2019,13
88,Alex Erickson (WAS),1,4,16,16,16,0,0,1,5,0,0,1,3.1,3.1,0.0%,2019,17
92,Alex Erickson (WAS),1,3,14,14,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,2019,2
99,Alex Erickson (WAS),1,1,13,13,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,2019,3
91,Alex Erickson (WAS),1,1,7,7,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,2019,5
84,Alex Erickson (WAS),0,2,0,0,0,0,0,1,13,0,0,1,1.3,1.3,0.0%,2019,10
96,Alex Erickson (WAS),1,5,0,0,0,0,0,0,0,0,0,1,1,1,0.0%,2019,11
397,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
