Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
6,Allen Robinson II (LAR),10,13,123,12.3,37,2,1,0,0,0,0,1,23.3,23.3,33.8%,2020,3
4,Allen Robinson II (LAR),9,13,123,13.7,35,3,1,0,0,0,0,1,22.8,22.8,33.8%,2020,14
9,Allen Robinson II (LAR),7,10,101,14.4,27,3,1,0,0,0,0,1,19.6,19.6,33.8%,2020,4
10,Allen Robinson II (LAR),6,7,87,14.5,28,2,1,0,0,0,0,1,17.7,17.7,33.8%,2020,8
16,Allen Robinson II (LAR),10,13,103,10.3,21,1,0,0,0,0,0,1,15.3,15.3,33.8%,2020,16
22,Allen Robinson II (LAR),10,16,90,9,24,1,0,0,0,0,0,1,14,14,33.8%,2020,5
31,Allen Robinson II (LAR),7,9,81,11.6,27,2,0,0,0,0,0,1,11.6,11.6,33.8%,2020,9
42,Allen Robinson II (LAR),6,7,75,12.5,21,1,0,0,0,0,0,1,10.5,10.5,33.8%,2020,13
33,Allen Robinson II (LAR),4,5,83,20.8,35,3,0,0,0,0,0,1,10.3,10.3,33.8%,2020,15
35,Allen Robinson II (LAR),5,9,74,14.8,22,2,0,1,-1,0,0,1,9.8,9.8,33.8%,2020,1
44,Allen Robinson II (LAR),4,4,70,17.5,42,3,0,0,0,0,0,1,9,9,33.8%,2020,7
43,Allen Robinson II (LAR),5,9,53,10.6,23,1,0,0,0,0,0,1,7.8,7.8,33.8%,2020,6
39,Allen Robinson II (LAR),6,9,43,7.2,24,1,0,0,0,0,0,1,7.3,7.3,33.8%,2020,10
81,Allen Robinson II (LAR),3,9,33,11,17,0,0,0,0,0,0,1,4.8,4.8,33.8%,2020,2
72,Allen Robinson II (LAR),2,5,37,18.5,23,1,0,0,0,0,0,1,4.7,4.7,33.8%,2020,17
43,Alshon Jeffery (FA),1,1,15,15,15,0,1,0,0,0,0,1,8,8,0.0%,2020,14
51,Alshon Jeffery (FA),2,3,63,31.5,39,3,0,0,0,0,0,1,7.3,7.3,0.0%,2020,15
90,Alshon Jeffery (FA),1,1,22,22,22,1,0,0,0,0,0,1,2.7,2.7,0.0%,2020,16
86,Alshon Jeffery (FA),2,4,15,7.5,9,0,0,0,0,0,0,1,2.5,2.5,0.0%,2020,12
126,Alshon Jeffery (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,10
137,Alshon Jeffery (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,11
133,Alshon Jeffery (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,13
2,Amari Cooper (CLE),12,16,134,11.2,20,1,1,0,0,0,0,1,27.4,27.4,96.3%,2020,4
8,Amari Cooper (CLE),6,8,112,18.7,54,5,1,0,0,0,0,1,20.2,20.2,96.3%,2020,12
6,Amari Cooper (CLE),7,10,79,11.3,26,1,1,0,0,0,0,1,17.4,17.4,96.3%,2020,6
20,Amari Cooper (CLE),4,6,121,30.3,69,6,0,0,0,0,0,1,14.1,14.1,96.3%,2020,16
25,Amari Cooper (CLE),5,9,43,8.6,13,0,1,1,10,0,0,1,13.8,13.8,96.3%,2020,13
24,Amari Cooper (CLE),10,14,81,8.1,14,0,0,0,0,0,0,1,13.1,13.1,96.3%,2020,1
30,Amari Cooper (CLE),9,12,86,9.6,28,2,0,0,0,0,0,1,13.1,13.1,96.3%,2020,3
22,Amari Cooper (CLE),4,5,51,12.8,20,1,1,0,0,0,0,1,13.1,13.1,96.3%,2020,14
24,Amari Cooper (CLE),6,9,100,16.7,58,4,0,0,0,0,0,1,13,13,96.3%,2020,2
32,Amari Cooper (CLE),7,7,80,11.4,32,2,0,1,5,0,0,1,12,12,96.3%,2020,7
30,Amari Cooper (CLE),6,7,81,13.5,32,2,0,0,0,0,0,1,11.1,11.1,96.3%,2020,11
38,Amari Cooper (CLE),5,6,67,13.4,32,2,0,1,8,0,0,1,10,10,96.3%,2020,9
49,Amari Cooper (CLE),6,9,41,6.8,13,0,0,0,0,0,0,1,7.1,7.1,96.3%,2020,17
78,Amari Cooper (CLE),2,4,23,11.5,15,0,0,1,-2,0,0,1,3.1,3.1,96.3%,2020,5
109,Amari Cooper (CLE),2,3,10,5,5,0,0,2,-7,0,0,1,1.3,1.3,96.3%,2020,15
96,Amari Cooper (CLE),1,5,5,5,5,0,0,0,0,0,0,1,1,1,96.3%,2020,8
95,Andre Roberts (CAR),2,2,12,6,10,0,0,0,0,0,0,1,2.2,2.2,0.0%,2020,16
109,Andre Roberts (CAR),1,1,6,6,6,0,0,1,-3,0,0,1,0.8,0.8,0.0%,2020,4
106,Andre Roberts (CAR),1,2,16,16,16,0,0,0,0,0,1,1,0.1,0.1,0.0%,2020,5
144,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,1
148,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,2
154,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,3
134,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,6
126,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,7
