Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
10,Jake Elliott (PHI),3,3,100,38,0,2,1,0,0,1,2,1,10,10,14.1%,2019,9
13,Jake Elliott (PHI),2,2,100,41,0,0,1,1,0,0,0,1,7,7,14.1%,2019,2
18,Jake Elliott (PHI),1,1,100,28,0,1,0,0,0,4,4,1,7,7,14.1%,2019,5
16,Jake Elliott (PHI),1,1,100,25,0,1,0,0,0,4,4,1,7,7,14.1%,2019,15
17,Jake Elliott (PHI),1,1,100,22,0,1,0,0,0,3,3,1,6,6,14.1%,2019,1
22,Jake Elliott (PHI),1,1,100,25,0,1,0,0,0,3,3,1,6,6,14.1%,2019,3
23,Jake Elliott (PHI),1,1,100,37,0,0,1,0,0,2,3,1,5,5,14.1%,2019,8
17,Jake Elliott (PHI),1,1,100,42,0,0,0,1,0,1,1,1,5,5,14.1%,2019,11
25,Jake Elliott (PHI),1,2,50,34,0,0,1,0,0,2,2,1,5,5,14.1%,2019,14
26,Jake Elliott (PHI),1,3,33.3,36,0,0,1,0,0,2,2,1,5,5,14.1%,2019,16
23,Jake Elliott (PHI),0,0,0,0,0,0,0,0,0,4,4,1,4,4,14.1%,2019,4
22,Jake Elliott (PHI),1,1,100,38,0,0,1,0,0,1,1,1,4,4,14.1%,2019,7
26,Jake Elliott (PHI),1,1,100,28,0,1,0,0,0,0,0,1,3,3,14.1%,2019,12
5,Jason Myers (SEA),3,3,100,36,0,2,1,0,0,4,4,1,13,13,3.6%,2019,13
3,Jason Myers (SEA),2,2,100,54,0,0,0,1,1,3,3,1,12,12,3.6%,2019,8
7,Jason Myers (SEA),2,2,100,46,0,0,0,2,0,3,3,1,11,11,3.6%,2019,10
8,Jason Myers (SEA),3,4,75,35,0,0,3,0,0,1,1,1,10,10,3.6%,2019,7
13,Jason Myers (SEA),2,2,100,33,0,1,1,0,0,3,3,1,9,9,3.6%,2019,4
14,Jason Myers (SEA),2,2,100,51,0,0,1,0,1,1,1,1,9,9,3.6%,2019,16
10,Jason Myers (SEA),2,2,100,38,0,1,1,0,0,2,3,1,8,8,3.6%,2019,6
12,Jason Myers (SEA),2,4,50,37,0,1,1,0,0,2,3,1,8,8,3.6%,2019,9
